frequency_hz,amplitude,amplitude_normalized
112.83185840707964,2.3975416013285157e-05,9.660430277767191e-06
115.04424778761062,2.02032493455914e-05,8.14050866017438e-06
117.25663716814158,1.7212372083162425e-05,6.935392500895052e-06
119.46902654867256,1.4801408602843474e-05,5.963941386513626e-06
121.68141592920354,1.2829955151131985e-05,5.169582339497752e-06
123.8938053097345,1.1197752720270081e-05,4.511917931347071e-06
126.10619469026548,9.83167952125433e-06,3.961485151114793e-06
128.31858407079645,8.677387641860946e-06,3.4963855584781632e-06
130.53097345132744,7.693795435601866e-06,3.1000660983671945e-06
132.7433628318584,6.84937296846848e-06,2.759822393557149e-06
134.95575221238937,6.11958202641606e-06,2.4657672451861315e-06
137.16814159292034,5.485091095868396e-06,2.2101113936657695e-06
139.38053097345133,4.930490774894212e-06,1.986645918454427e-06
141.5929203539823,4.443374675220753e-06,1.7903719052958725e-06
143.80530973451326,4.013656083999602e-06,1.617225108291308e-06
146.01769911504425,3.633061674631983e-06,1.4638719504663697e-06
148.23008849557522,3.2947566825233583e-06,1.3275584955892991e-06
150.44247787610618,2.9930445394783554e-06,1.205989421658448e-06
152.65486725663715,2.723152212408031e-06,1.0972415272852085e-06
154.86725663716814,2.481051529730378e-06,9.996917386220487e-07
157.0796460176991,2.263324448961116e-06,9.119628215434985e-07
159.29203539823007,2.0670544474264533e-06,8.328796196339994e-07
161.50442477876106,1.8897392380075525e-06,7.614338846849243e-07
163.71681415929203,1.7292252188931754e-06,6.967578644899297e-07
165.929203539823,1.5836484721858e-06,6.381005293741802e-07
168.141592920354,1.4513860662603528e-06,5.84807950421451e-07
170.35398230088495,1.3310273016408944e-06,5.363117135561474e-07
172.56637168141592,1.221333787506973e-06,4.92112833143527e-07
174.77876106194688,1.1212200175495065e-06,4.517739254064257e-07
176.99115044247787,1.0297273782182178e-06,4.149087355511567e-07
179.20353982300884,9.460104320655403e-07,3.811766109061706e-07
181.4159292035398,8.693191802511587e-07,3.5027535394124484e-07
183.6283185840708,7.98986355995462e-07,3.2193610241025493e-07
185.84070796460176,7.344184933069364e-07,2.9591973066757837e-07
188.05309734513273,6.750843664977806e-07,2.7201219159445314e-07
190.26548672566372,6.205091059101991e-07,2.5002214564467e-07
192.47787610619469,5.702654125881285e-07,2.2977742096642353e-07
194.69026548672565,5.239699578908512e-07,2.111235626962372e-07
196.90265486725662,4.812767611585403e-07,1.9392116461734876e-07
199.1150442477876,4.4187255898138406e-07,1.7804400329624682e-07
201.32743362831857,4.054745144418375e-07,1.633781150661316e-07
203.53982300884954,3.718248746844173e-07,1.4981964339796893e-07
205.75221238938053,3.4069002820901286e-07,1.3727445905505845e-07
207.9646017699115,3.1185781750193167e-07,1.256570772696783e-07
210.17699115044246,2.8513264173587465e-07,1.1488868447073762e-07
212.38938053097343,2.6033580265110965e-07,1.0489727764990718e-07
214.60176991150442,2.373058108461884e-07,9.56177877755412e-08
216.81415929203538,2.1589060986870155e-07,8.698894664040728e-08
219.02654867256635,1.959541736451946e-07,7.895594516849866e-08
221.23893805309734,1.773693780472553e-07,7.146756115042937e-08
223.4513274336283,1.600200478654786e-07,6.44769840320117e-08
225.66371681415927,1.4380105040648627e-07,5.794185262736544e-08
227.87610619469027,1.2861737097336443e-07,5.182388260163729e-08
230.08849557522123,1.1438490087724804e-07,4.608918398503132e-08
232.3008849557522,1.010354651430592e-07,4.0710286989617124e-08
234.51327433628316,8.851639551333427e-08,3.5665969959478586e-08
236.72566371681415,7.680487160246167e-08,3.0947037861503884e-08
238.93805309734512,6.591851591766725e-08,2.6560591344218994e-08
241.15044247787608,5.594641358870738e-08,2.2542525538049208e-08
243.36283185840708,4.7108169458295764e-08,1.8981325967938914e-08
245.57522123893804,3.982867398650607e-08,1.6048194028806798e-08
247.787610619469,3.484093132511072e-08,1.403847956974776e-08
250.0,3.302784123970781e-08,1.3307929978965255e-08
