Node  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UY (mm)
3348;508,82  ;5,53895  ;-4,7072  ;-2,59223e+01
5678;508,818  ;3,20765  ;6,5549  ;-2,59212e+01
3369;508,483  ;15,2824  ;2,52475  ;-2,58964e+01
5663;508,481  ;8,49203  ;9,31656  ;-2,58906e+01
2178;507,183  ;-7,93694  ;-11,9042  ;-2,57701e+01
11066;506,785  ;-9,81122  ;-7,40447  ;-2,57365e+01
6438;506,533  ;-4,15701  ;-15,9521  ;-2,57069e+01
10833;506,533  ;-13,9685  ;-15,9521  ;-2,57111e+01
7524;506,505  ;12,0287  ;-2,02059  ;-2,57132e+01
6436;506,48  ;0,442533  ;-12,4764  ;-2,57040e+01
11698;506,477  ;0,517245  ;-5,87183  ;-2,57066e+01
1709;506,388  ;-11,6855  ;-2,9047  ;-2,57022e+01
5293;506,196  ;-9,84579  ;4,85741  ;-2,56834e+01
4608;506,135  ;-15,8428  ;-1,64088  ;-2,56819e+01
5682;506,069  ;6,09784  ;0,239349  ;-2,56709e+01
1723;506,004  ;-8,00608  ;12,6195  ;-2,56619e+01
3314;505,943  ;-4,19158  ;16,3098  ;-2,56527e+01
7506;505,943  ;-14,003  ;16,3098  ;-2,56569e+01
5295;505,9  ;-15,7826  ;7,47582  ;-2,56592e+01
1090;505,882  ;-0,377068  ;20;-2,56436e+01
385;505,882  ;-0,377068  ;-20;-2,56437e+01
3186;505,882  ;9,81147  ;-20;-2,56459e+01
7504;505,882  ;-9,81147  ;20;-2,56459e+01
14638;505,882  ;-9,81147  ;-20;-2,56459e+01
14674;505,882  ;9,81147  ;20;-2,56459e+01
3191;505,882  ;5,35237  ;-14,6588  ;-2,56486e+01
52;505,882  ;20;-20;-2,56530e+01
138;505,882  ;-20;-20;-2,56530e+01
478;505,882  ;20;20;-2,56530e+01
820;505,882  ;-20;20;-2,56530e+01
13519;505,882  ;15,5409  ;-14,6588  ;-2,56536e+01
1700;505,882  ;11,0818  ;-9,31765  ;-2,56538e+01
3362;505,882  ;15,5409  ;-4,84736  ;-2,56581e+01
5299;505,882  ;-20;9,81147  ;-2,56601e+01
10385;505,882  ;-20;-9,81147  ;-2,56601e+01
14440;505,882  ;20;9,81147  ;-2,56601e+01
14459;505,882  ;20;-9,81147  ;-2,56601e+01
702;505,882  ;20;-0,377068  ;-2,56624e+01
1338;505,882  ;-20;-0,377068  ;-2,56624e+01
12846;505,88  ;3,02107  ;16,6033  ;-2,56465e+01
14441;505,88  ;13,2096  ;16,6033  ;-2,56504e+01
1727;505,878  ;6,41922  ;13,2065  ;-2,56495e+01
3297;505,872  ;-0,0336703  ;12,4902  ;-2,56484e+01
3300;505,869  ;-1,11613  ;5,83734  ;-2,56510e+01
