time,frame,link,body_index,node,x,y,z
3.5571142284569137,355,0,1,7,-0.61424122339717,2.6915546264186828e-05,-0.7894236890747064
3.5571142284569137,355,1,0,0,-0.61424122339717,2.6915546264186828e-05,-0.7894236890747064
3.5571142284569137,355,1,0,1,-0.7570411828255014,3.211994395289317e-05,-0.7853646482510909
3.5571142284569137,355,1,0,2,-0.899824952418689,3.676911728811805e-05,-0.7806779564581157
3.5571142284569137,355,1,0,3,-1.0425964378876986,4.158989016246351e-05,-0.7755150320637993
3.5571142284569137,355,1,0,4,-1.185359361982754,4.705263281290537e-05,-0.7700201999805905
3.5571142284569137,355,1,0,5,-1.3281170693258035,5.32675887228667e-05,-0.7643231252158994
3.5571142284569137,355,1,0,6,-1.4708722873501239,6.001981467736993e-05,-0.7585295449959606
3.5571142284569137,355,1,0,7,-1.6136268604605115,6.695643779485395e-05,-0.7527109629414174
3.567134268537074,356,0,1,0,0.0,0.0,0.0
3.567134268537074,356,0,1,1,-0.08811685290368132,-1.3102982684562895e-06,-0.11244635322586707
3.567134268537074,356,0,1,2,-0.17725653992698892,-3.066513549909147e-06,-0.2241000835770153
3.567134268537074,356,0,1,3,-0.2671723080085869,-2.9095294568249677e-06,-0.3351524069281098
3.567134268537074,356,0,1,4,-0.35762896301895536,5.646408701895468e-07,-0.445785581813042
3.567134268537074,356,0,1,5,-0.4484151999362575,7.43118445761672e-06,-0.5561633544254878
3.567134268537074,356,0,1,6,-0.5393587061101166,1.6593728729411526e-05,-0.6664192546757928
3.567134268537074,356,0,1,7,-0.6303429564318965,2.6522776992495044e-05,-0.7766435811420079
3.567134268537074,356,1,0,0,-0.6303429564318965,2.6522776992495044e-05,-0.7766435811420079
3.567134268537074,356,1,0,1,-0.7727723169671249,3.151561786792552e-05,-0.7655892672360156
3.567134268537074,356,1,0,2,-0.9151521870623702,3.5983237824309065e-05,-0.7538734903515516
3.567134268537074,356,1,0,3,-1.0574945060700265,4.067963412426813e-05,-0.7416558258713012
3.567134268537074,356,1,0,4,-1.199810654032151,4.608816869351834e-05,-0.7290883735935499
3.567134268537074,356,1,0,5,-1.342110855068035,5.231262786164589e-05,-0.716307783672923
3.567134268537074,356,1,0,6,-1.4844034465979905,5.911510927254487e-05,-0.703425489476968
3.567134268537074,356,1,0,7,-1.6266940667182415,6.61151693979007e-05,-0.6905168465790004
3.577154308617234,357,0,1,0,0.0,0.0,0.0
3.577154308617234,357,0,1,1,-0.09043476886628986,-1.3554317943653618e-06,-0.11059085297882731
3.577154308617234,357,0,1,2,-0.18189412682799078,-3.206799153252e-06,-0.22035324491394015
3.577154308617234,357,0,1,3,-0.2741308974316465,-3.15008138513682e-06,-0.32948703745087926
3.577154308617234,357,0,1,4,-0.3669094829942809,2.491908276666966e-07,-0.4381827298865914
3.577154308617234,357,0,1,5,-0.46001821593762476,7.076290759184503e-06,-0.5466114721421511
3.577154308617234,357,0,1,6,-0.5532844879650146,1.6226186592692703e-05,-0.6549128316307274
3.577154308617234,357,0,1,7,-0.6465915740441587,2.6152032091212865e-05,-0.7631811897414188
3.577154308617234,357,1,0,0,-0.6465915740441587,2.6152032091212865e-05,-0.7631811897414188
3.577154308617234,357,1,0,1,-0.7883503934241478,3.0939788874239854e-05,-0.7454958302320931
3.577154308617234,357,1,0,2,-0.9300254617325356,3.5237236310102645e-05,-0.7271229333337516
3.577154308617234,357,1,0,3,-1.0716369835661195,3.9818203826970605e-05,-0.7082283647789405
3.577154308617234,357,1,0,4,-1.213204217011836,4.517435745109201e-05,-0.6889702200337788
3.577154308617234,357,1,0,5,-1.3547444640160997,5.140205870527689e-05,-0.6694905359069481
3.577154308617234,357,1,0,6,-1.4962718337170577,5.824282284794602e-05,-0.6499051383922223
3.577154308617234,357,1,0,7,-1.6377958672709345,6.529239808645372e-05,-0.6302923535277205
3.5871743486973946,358,0,1,0,0.0,0.0,0.0
3.5871743486973946,358,0,1,1,-0.09277267716887284,-1.3849710659852107e-06,-0.10863714552464086
3.5871743486973946,358,0,1,2,-0.18656405355437064,-3.301650769749622e-06,-0.21641413973190687
3.5871743486973946,358,0,1,3,-0.28112837358788767,-3.319814486881297e-06,-0.3235384893839891
3.5871743486973946,358,0,1,4,-0.3762313939170981,1.3391059373013406e-08,-0.43020798076048916
3.5871743486973946,358,0,1,5,-0.4716626637407867,6.790497248370453e-06,-0.5366003106054053
3.5871743486973946,358,0,1,6,-0.5672505670141027,1.590335498152441e-05,-0.6428603850545745
3.5871743486973946,358,0,1,7,-0.6628790497129501,2.5796858786060784e-05,-0.7490861957625339
3.5871743486973946,358,1,0,0,-0.6628790497129501,2.5796858786060784e-05,-0.7490861957625339
3.5871743486973946,358,1,0,1,-0.8037147694114684,3.038881426134153e-05,-0.7251352687521126
3.5871743486973946,358,1,0,2,-0.9444324836448392,3.452852648048284e-05,-0.7004776301457559
3.5871743486973946,358,1,0,3,-1.085060660749614,3.90034967038078e-05,-0.6752837713791531
3.5871743486973946,358,1,0,4,-1.2256264354233508,4.4309848743587224e-05,-0.6497161969225299
3.5871743486973946,358,1,0,5,-1.3661541861508746,5.053590823940134e-05,-0.6239209047410136
3.5871743486973946,358,1,0,6,-1.5066637927371356,5.740488594490398e-05,-0.5980169510113682
3.5871743486973946,358,1,0,7,-1.647168698687517,6.449215207028062e-05,-0.5720848461469873
3.597194388777555,359,0,1,0,0.0,0.0,0.0
3.597194388777555,359,0,1,1,-0.09511391405788264,-1.4013803784048945e-06,-0.10659339011427418
3.597194388777555,359,0,1,2,-0.1912342277746327,-3.3583236112221326e-06,-0.21229886947879986
3.597194388777555,359,0,1,3,-0.28811815276485736,-3.4302255339675467e-06,-0.3173306416809938
3.597194388777555,359,0,1,4,-0.3855342738706807,-1.5607446351580753e-07,-0.4218928761127296
3.597194388777555,359,0,1,5,-0.48327468122924744,6.561554185241308e-06,-0.5261690042771693
3.597194388777555,359,0,1,6,-0.5811698308603326,1.5616123594011616e-05,-0.6303086088190115
3.597194388777555,359,0,1,7,-0.6791050699635763,2.5451999797628877e-05,-0.7344128438404374
3.597194388777555,359,1,0,0,-0.6791050699635763,2.5451999797628877e-05,-0.7344128438404374
3.597194388777555,359,1,0,1,-0.8188088132146221,2.9859394169765112e-05,-0.7045595213843805
3.597194388777555,359,1,0,2,-0.9583610642119924,3.385428786783025e-05,-0.6739864268961061
3.597194388777555,359,1,0,3,-1.09779836985052,3.82326876953228e-05,-0.642867202591468
3.597194388777555,359,1,0,4,-1.2371555649319563,4.3492037278600396e-05,-0.6113673561169396
3.597194388777555,359,1,0,5,-1.376463945901736,4.971231584558061e-05,-0.5796355835639119
3.597194388777555,359,1,0,6,-1.5157490339168853,5.6600624838258574e-05,-0.5477931413354361
3.597194388777555,359,1,0,7,-1.6550280873842107,6.371510769018538e-05,-0.5159220277232532
3.6072144288577155,360,0,1,0,0.0,0.0,0.0
3.6072144288577155,360,0,1,1,-0.09744320243675386,-1.4068515709515688e-06,-0.1044683334586552
3.6072144288577155,360,0,1,2,-0.19587521898775875,-3.383258337337126e-06,-0.20802470525253575
3.6072144288577155,360,0,1,3,-0.29505750366525757,-3.491489967407344e-06,-0.31088912113700556
3.6072144288577155,360,0,1,4,-0.3947626849841669,-2.7092965375263405e-07,-0.41327128086763093
3.6072144288577155,360,0,1,5,-0.49478648604024394,6.378784837453461e-06,-0.5153595845723866
3.6072144288577155,360,0,1,6,-0.5949623254266333,1.535672553495023e-05,-0.6173076666451666
3.6072144288577155,360,0,1,7,-0.6951775537666329,2.511323882716119e-05,-0.7192194211461708
3.6072144288577155,360,1,0,0,-0.6951775537666329,2.511323882716119e-05,-0.7192194211461708
3.6072144288577155,360,1,0,1,-0.8335804247207748,2.9348549172724796e-05,-0.6838215416141038
3.6072144288577155,360,1,0,2,-0.9717996766303905,3.321155287971433e-05,-0.6476962164115396
3.6072144288577155,360,1,0,3,-1.1098796068546721,3.7502424972278065e-05,-0.6110189389907041
3.6072144288577155,360,1,0,4,-1.2478624375756744,4.2717380946935636e-05,-0.5739569815097602
