ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3,  UR-Magnitude,        UR-UR1,        UR-UR2,        UR-UR3
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            20,          380.,            0.,            0.,NA,NA,"""",       34.5810,  -5.46649E-15,      -15.8041,      -30.7584,   137.438E-03,   438.527E-18,   122.246E-03,  -62.8114E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            21,          400.,            0.,            0.,NA,NA,"""",       37.3542,  -5.25480E-15,      -17.0715,      -33.2251,   138.548E-03,   59.1183E-18,   123.233E-03,  -63.3187E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            22,          420.,            0.,            0.,NA,NA,"""",       40.1441,  -4.52227E-15,      -18.3465,      -35.7065,   139.311E-03,   85.9757E-18,   123.912E-03,  -63.6675E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            23,          440.,            0.,            0.,NA,NA,"""",       42.9441,  -3.88549E-15,      -19.6261,      -38.1970,   139.788E-03,   104.187E-18,   124.335E-03,  -63.8852E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            24,          460.,            0.,            0.,NA,NA,"""",       45.7491,  -3.58125E-15,      -20.9081,      -40.6919,   140.042E-03,   336.534E-18,   124.562E-03,  -64.0014E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            25,          480.,            0.,            0.,NA,NA,"""",       48.5551,  -3.63111E-15,      -22.1904,      -43.1877,   140.143E-03,   719.474E-18,   124.651E-03,  -64.0475E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            26,          500.,            0.,            0.,NA,NA,"""",       51.3595,  -3.35486E-15,      -23.4721,      -45.6822,   140.164E-03,   1.04313E-15,   124.670E-03,  -64.0572E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             1,            0.,            0.,            0.,NA,NA,"""",            0.,            0.,            0.,            0.,            0.,            0.,            0.,            0."
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             2,           20.,            0.,            0.,NA,NA,"""",   167.072E-03,  -706.796E-18,   148.604E-03,  -76.3547E-03,   13.9036E-03,  -425.966E-18,   6.35418E-03,   12.3667E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             3,           40.,            0.,            0.,NA,NA,"""",   604.351E-03,  -378.016E-18,   537.545E-03,  -276.198E-03,   27.0215E-03,   95.4337E-18,   12.3493E-03,   24.0345E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             4,           60.,            0.,            0.,NA,NA,"""",       1.29610,  -256.999E-18,       1.15283,  -592.338E-03,   39.3541E-03,   570.484E-18,   17.9855E-03,   35.0039E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             5,           80.,            0.,            0.,NA,NA,"""",       2.22659,  -643.742E-18,       1.98046,      -1.01759,   50.9026E-03,  -533.224E-18,   23.2633E-03,   45.2758E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             6,          100.,            0.,            0.,NA,NA,"""",       3.38011,  -1.58771E-15,       3.00647,      -1.54476,   61.6697E-03,  -305.563E-18,   28.1840E-03,   54.8526E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             7,          120.,            0.,            0.,NA,NA,"""",       4.74101,  -2.28673E-15,       4.21693,      -2.16672,   71.6594E-03,  -71.5969E-18,   32.7495E-03,   63.7380E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             8,          140.,            0.,            0.,NA,NA,"""",       6.29373,  -4.38087E-15,       5.59801,      -2.87633,   80.8779E-03,  -184.230E-18,   36.9625E-03,   71.9375E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             9,          160.,            0.,            0.,NA,NA,"""",       8.02285,  -5.58578E-15,       7.13599,      -3.66657,   89.3337E-03,  -626.837E-18,   40.8269E-03,   79.4586E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            10,          180.,            0.,            0.,NA,NA,"""",       9.91311,  -6.63081E-15,       8.81730,      -4.53045,   97.0377E-03,   671.075E-18,   44.3478E-03,   86.3110E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            11,          200.,            0.,            0.,NA,NA,"""",       11.9495,  -8.29401E-15,       10.6286,      -5.46112,   104.004E-03,  -312.887E-18,   47.5314E-03,   92.5071E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            12,          220.,            0.,            0.,NA,NA,"""",       14.1174,  -7.33438E-15,       12.5568,      -6.45187,   110.249E-03,  -633.127E-18,   50.3855E-03,   98.0618E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            13,          240.,            0.,            0.,NA,NA,"""",       16.4024,  -7.54391E-15,       14.5892,      -7.49614,   115.793E-03,  -368.485E-18,   52.9192E-03,   102.993E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            14,          260.,            0.,            0.,NA,NA,"""",       18.7906,  -8.68865E-15,       16.7134,      -8.58758,   120.660E-03,   555.111E-18,   55.1435E-03,   107.322E-03"
