frequency_hz,u_x_amp,u_x_amp_norm,u_x_amp_norm_log,u_y_amp,u_y_amp_norm,u_y_amp_norm_log,u_z_amp,u_z_amp_norm,u_z_amp_norm_log,theta_x_amp,theta_x_amp_norm,theta_x_amp_norm_log,theta_y_amp,theta_y_amp_norm,theta_y_amp_norm_log,theta_z_amp,theta_z_amp_norm,theta_z_amp_norm_log
21.630615640599004,1.0460914800186499e-08,1.1970205448048164e-07,1.1970205448048164e-07,0.001999488705459383,0.0004318703937210149,0.0004318703937210149,0.0019595033767101444,0.0003454987712411164,0.0003454987712411164,3.110725370544511e-06,2.2392787495390604e-07,2.2392787495390604e-07,0.0026273430112690576,0.0003371958598250035,0.0003371958598250035,0.0027792784455232034,0.0004372413278711331,0.0004372413278711331
23.29450915141431,1.0271210660516898e-08,1.1753130978982623e-07,1.1753130978982623e-07,0.0014120767098718904,0.00030499503347609013,0.00030499503347609013,0.0013855073744813411,0.00024429204926020297,0.00024429204926020297,3.2349330334112e-06,2.3286905576726095e-07,2.3286905576726095e-07,0.001827465601388316,0.00023453878390363163,0.00023453878390363163,0.001985717179231984,0.00031239677248692024,0.00031239677248692024
24.95840266222962,1.0112956968745137e-08,1.157204459795347e-07,1.157204459795347e-07,0.001037800731738721,0.00022415500992639307,0.00022415500992639307,0.0009985882954949652,0.00017607064788452588,0.00017607064788452588,3.366343352541334e-06,2.4232872513841943e-07,2.4232872513841943e-07,0.0013075907247057366,0.0001678175163369248,0.0001678175163369248,0.0014907550528183416,0.00023452839706465136,0.00023452839706465136
26.622296173044926,1.0011804416554e-08,1.1456297853576894e-07,1.1456297853576894e-07,0.0007904230475255131,0.00017072380144431983,0.00017072380144431983,0.0007268799627721745,0.00012816315448213874,0.00012816315448213874,3.505292932972921e-06,2.5233111383091137e-07,2.5233111383091137e-07,0.0010625377937452808,0.0001363671752876471,0.0001363671752876471,0.0011796573494180574,0.00018558591951206728,0.00018558591951206728
28.286189683860233,9.920879013616861e-09,1.1352253821635758e-07,1.1352253821635758e-07,0.0006236074383399164,0.00013469322891790852,0.00013469322891790852,0.0005469800851276697,9.64432873916531e-05,9.64432873916531e-05,3.6517413781221795e-06,2.62873313866666e-07,2.62873313866666e-07,0.0013227610322178224,0.00016976448894895412,0.00016976448894895412,0.0009947981274259236,0.00015650351799045609,0.00015650351799045609
29.950083194675543,9.865519600904374e-09,1.128890720651564e-07,1.128890720651564e-07,0.000511911964396976,0.00011056807723443834,0.00011056807723443834,0.0005694548145154917,0.00010040602176596478,0.00010040602176596478,3.805818684490284e-06,2.7396468314031937e-07,2.7396468314031937e-07,0.002549497706020744,0.0003272051146029451,0.0003272051146029451,0.000910489715892904,0.0001432399596489802,0.0001432399596489802
31.61397670549085,9.854057896098064e-09,1.1275791818049425e-07,1.1275791818049425e-07,0.0004423151340690575,9.55358290234902e-05,9.55358290234902e-05,0.0012794013975784585,0.0002255834902053915,0.0002255834902053915,3.967840171528998e-06,2.856279201566749e-07,2.856279201566749e-07,0.006410851719552105,0.000822775194754957,0.000822775194754957,0.0009220908786373849,0.00014506507645633594,0.00014506507645633594
33.277870216306155,9.772967721777636e-09,1.1183002031976772e-07,1.1183002031976772e-07,0.0004109114421372478,8.875293259509142e-05,8.875293259509142e-05,0.00528955999026692,0.000932652884789454,0.000932652884789454,4.138009772085928e-06,2.978777051731511e-07,2.978777051731511e-07,0.025448231437860177,0.003266051765570625,0.003266051765570625,0.0010431081711081785,0.0001641037451944508,0.0001641037451944508
34.94176372712147,9.792810290717906e-09,1.1205707467530827e-07,1.1205707467530827e-07,0.00042285425129182585,9.133246489134292e-05,9.133246489134292e-05,0.5412040673781089,0.09542486248927266,0.09542486248927266,4.316420351039626e-06,3.1072072313696586e-07,3.1072072313696586e-07,2.5600004280404756,0.32855304457126533,0.32855304457126533,0.0013120546374944223,0.00020641491062603568,0.00020641491062603568
36.605657237936775,9.848067189403252e-09,1.1268936777999333e-07,1.1268936777999333e-07,0.0004958072407450536,0.0001070896113019559,0.0001070896113019559,1.037907342764183,0.18300336495934602,0.18300336495934602,4.503817999062793e-06,3.2421068193903216e-07,3.2421068193903216e-07,4.9105426985998415,0.6302240173284325,0.6302240173284325,0.0018173126992620445,0.00028590306202041013,0.00028590306202041013
