t,frame,body,node,x,y,z,vx,vy,vz
3.059999999999774,306,1,3,1.2551126629749456,-0.11562542494772868,-0.71790688809805847,4.5625203671729624,-0.2467483314913746,5.6012724292320595
3.059999999999774,306,1,4,1.3851085425185603,-0.099221912913395938,-0.79911029785524046,4.5599722488700261,-0.14429189862493633,5.5751083523734408
3.059999999999774,306,1,5,1.5301451279938654,-0.082949445140533054,-0.86646588039792771,4.4428996686233173,-0.0029513534100945871,5.4346934126169719
3.059999999999774,306,1,6,1.6849983799773272,-0.067814734625614104,-0.92453869193968596,4.2564792821050634,0.16310638568234059,5.2248238799245783
3.059999999999774,306,1,7,1.8432737397279186,-0.053279344976486592,-0.97932838155574997,4.0469242117090225,0.33765316916939697,4.9917274673228462
3.059999999999774,306,2,0,0,0,0,0,0,0
3.059999999999774,306,2,1,0.11505878811546166,-0.002776966915353985,-0.08472409869847114,0.51608774273938685,-0.031918166257286058,0.67166157007915039
3.059999999999774,306,2,2,0.23559420249506824,-0.011224488520150929,-0.16232065087590464,1.0077910942544641,-0.099276375608976619,1.3115881130712215
3.059999999999774,306,2,3,0.36388977760429259,-0.02532597642741144,-0.22981775424245307,1.4042700024886166,-0.16484752309966852,1.8275849561551192
3.059999999999774,306,2,4,0.50078563668914133,-0.044566203114226668,-0.28612203173886375,1.6664884501974371,-0.20381554686232459,2.1688487369164493
3.059999999999774,306,2,5,0.64515371654940556,-0.067778317795208765,-0.3327015994187732,1.7994985716457637,-0.20890586465801605,2.3419545474404462
3.059999999999774,306,2,6,0.79423475693099743,-0.093323252577329971,-0.3731474921412552,1.846620578819707,-0.18886359938907288,2.4032814085585454
3.059999999999774,306,2,7,0.94492715973000041,-0.11963141893063078,-0.41149627981431258,1.8635018428871617,-0.1594780195212277,2.4252515027682682
3.0699999999997729,307,0,0,1.8450839876467113,-0.045217355414438304,-0.93584963534691201,5.6274883664281568,0.94507097890446157,7.2816611289638278
3.0699999999997729,307,0,1,1.9511706653412628,-0.033443670737567821,-1.0313209985666834,5.4071898329783412,1.071378648989028,7.0806216998850839
3.0699999999997729,307,0,2,2.0658068886766467,-0.036042244872582285,-1.1209166697419111,5.243683002180461,1.0494727059008888,6.9078835907201999
3.0699999999997729,307,0,3,2.187806623195244,-0.049815561699905808,-1.2052068962917701,5.1365886373144729,0.91104370901811815,6.7695028515274807
3.0699999999997729,307,0,4,2.3157176482701494,-0.071622108964882941,-1.2850472779196636,5.0806226669660663,0.68774163077318073,6.6664791945937196
3.0699999999997729,307,0,5,2.4477812569693214,-0.098505988211319007,-1.3616466084421557,5.0640989582807494,0.41004973511112691,6.592985969783129
3.0699999999997729,307,0,6,2.5821200882310436,-0.12792697072440357,-1.4364203549512848,5.0707109324344373,0.10482073227767974,6.5377026273780707
3.0699999999997729,307,0,7,2.717168258599576,-0.15808276511720593,-1.5106135183023492,5.0848858029534467,-0.20847405452967049,6.4885623494010325
3.0699999999997729,307,1,0,0.9502283318508058,-0.12128285289535987,-0.38094778179854183,2.8136498954467379,-0.35796738006393525,4.1385425404439378
3.0699999999997729,307,1,1,1.0503908894754901,-0.13413618332382202,-0.48266789689757972,3.3466839057977591,-0.37812669776625363,4.6875487422719697
3.0699999999997729,307,1,2,1.1548037341624173,-0.12989896491660669,-0.58422787979533475,3.7328287309910051,-0.36760938929006426,5.0791227413712461
3.0699999999997729,307,1,3,1.269835153004125,-0.11593321748300837,-0.67732767003996774,3.9492570310237056,-0.30821057788426121,5.2855136058096797
3.0699999999997729,307,1,4,1.3988108484956443,-0.098045446380920775,-0.75715311466262147,3.9957857608565588,-0.19207494018509363,5.3046140665031665
3.0699999999997729,307,1,5,1.5408531219533872,-0.079748882118219969,-0.82374119940387192,3.9026521504141911,-0.02552381051298741,5.1688332369453214
3.0699999999997729,307,1,6,1.6914696257133954,-0.06224335178473514,-0.88138401930720223,3.7242105901978393,0.17321787299870253,4.9381072016191787
3.0699999999997729,307,1,7,1.8450839876467113,-0.045217355414438304,-0.93584963534691201,3.5171566570757626,0.38304364443624683,4.6754661995928988
3.0699999999997729,307,2,0,0,0,0,0,0,0
